"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C5orf42","0.1398","8.874","1.143","0.2563","0.448","-5.762"
"SEPT12","0.1396","-0.5108","0.8801","0.3815","0.5736","-6.021"
"SPTLC2","0.1395","9.424","1.003","0.3188","0.5183","-5.908"
"KIAA0226","0.1395","10.15","1.178","0.2424","0.4315","-5.724"
"GPR89A","0.1394","9.379","1.492","0.1397","0.2989","-5.32"
"WDR36","0.1394","9.057","2.268","0.02604","0.09056","-3.947"
"TMEM132A","0.1393","11.79","0.806","0.4227","0.6122","-6.082"
"BIN3","0.1393","8.581","1.751","0.08382","0.2094","-4.92"
"DHDPSL","0.1392","6.717","0.5512","0.5831","0.7499","-6.252"
"TMCO1","0.1392","11.3","1.252","0.2143","0.3973","-5.636"
"CLEC2D","0.1391","8.397","1.14","0.2579","0.4496","-5.766"
"DAGLB","0.1391","9.564","1.7","0.09298","0.2248","-5.003"
"N4BP1","0.139","9.632","1.497","0.1385","0.297","-5.313"
"PRDM4","0.139","9.364","1.42","0.1595","0.3269","-5.42"
"PSMD5","0.1389","9.262","0.9683","0.3358","0.5343","-5.942"
"COL17A1","0.1387","2.263","0.4012","0.6894","0.8322","-6.322"
"FAM172A","0.1387","10.03","1.493","0.1395","0.2986","-5.319"
"ZNF645","0.1387","-0.5572","0.9728","0.3336","0.5324","-5.938"
"C15orf53","0.1386","-0.8583","1.505","0.1363","0.2942","-5.301"
"CHRNE","0.1385","4.19","0.5626","0.5753","0.7435","-6.245"
"FAM59A","0.1385","7.071","1.051","0.2966","0.4949","-5.861"
"ZNF17","0.1384","7.125","1.237","0.2197","0.4037","-5.654"
"DPY19L3","0.1384","9.634","0.7338","0.4653","0.6488","-6.137"
"WDR54","0.1384","8.839","0.9559","0.342","0.539","-5.953"
"SIN3A","0.1384","10.35","1.549","0.1254","0.2779","-5.237"
"SAMD4B","0.1384","10.74","1.183","0.2403","0.429","-5.718"
"CLEC4C","0.1383","-0.7784","1.063","0.2911","0.4889","-5.848"
"TAB2","0.1383","11.02","1.297","0.1983","0.377","-5.581"
"POLR2J","0.1383","10.85","0.9973","0.3217","0.521","-5.914"
"LOC100128788","0.1381","3.351","0.6937","0.4899","0.6706","-6.165"
"SMTNL2","0.1381","1.829","0.4743","0.6366","0.7938","-6.29"
"ITGA2B","0.138","3.584","0.4579","0.6483","0.8031","-6.298"
"GLIS2","0.138","9.51","0.9763","0.3319","0.5309","-5.934"
"TGFB3","0.138","9.232","0.6428","0.5222","0.7001","-6.198"
"DUSP14","0.1377","9.102","0.9582","0.3409","0.5384","-5.951"
"C11orf66","0.1377","5.22","0.6075","0.5453","0.719","-6.22"
"BAT2L2","0.1375","11.19","1.085","0.2812","0.4775","-5.825"
"EXOC8","0.1375","8.337","1.384","0.1702","0.3397","-5.469"
"BBS12","0.1375","7.498","1.032","0.3052","0.5043","-5.88"
"TMED7","0.1375","11.3","1.418","0.1601","0.3277","-5.423"
"GRB2","0.1375","11.73","1.764","0.08158","0.2052","-4.898"
"GUCY2F","0.1374","-0.449","0.8449","0.4007","0.5911","-6.051"
"HSD17B11","0.1373","9.642","1.05","0.2968","0.495","-5.861"
"SPG20","0.1372","10.59","1.294","0.1994","0.3784","-5.585"
"PSKH1","0.1371","9.937","1.06","0.2926","0.4905","-5.852"
"NOL10","0.1371","9.022","1.492","0.1396","0.2989","-5.32"
"NR2F2","0.1371","9.11","0.5433","0.5885","0.7548","-6.256"
"ZNF397OS","0.137","9.106","1.611","0.1112","0.2549","-5.144"
"C11orf67","0.137","7.695","1.001","0.3201","0.5194","-5.911"
"PHC3","0.1367","9.695","1.415","0.161","0.329","-5.427"
"CEP152","0.1367","6.12","0.6331","0.5285","0.7048","-6.204"
"GNG10","0.1366","9.651","1.094","0.2772","0.4728","-5.816"
"C1orf66","0.1365","8.947","1.277","0.2053","0.3866","-5.606"
"FOXD2","0.1364","3.635","0.4066","0.6854","0.8293","-6.32"
"GET4","0.1364","9.899","1.312","0.1932","0.3707","-5.562"
"CTAGE4","0.1363","0.3282","0.4507","0.6534","0.8064","-6.301"
"HSPA4","0.1363","10.88","2.03","0.04575","0.1357","-4.424"
"SH3BP5","0.1363","9.021","0.6213","0.5362","0.7114","-6.211"
"CCDC83","0.1361","-0.7412","0.8104","0.4201","0.6098","-6.079"
"LARP4","0.1361","9.768","1.509","0.1354","0.2929","-5.296"
"BTNL8","0.136","1.262","0.5199","0.6046","0.7682","-6.268"
"C7orf58","0.136","6.518","0.5623","0.5755","0.7437","-6.245"
"SLC7A8","0.136","8.843","0.5862","0.5594","0.7308","-6.232"
"GALNTL1","0.136","8.55","0.6283","0.5316","0.7073","-6.207"
"RAB41","0.1359","4.179","0.781","0.4372","0.6253","-6.102"
"ZFP92","0.1359","1.662","0.4453","0.6573","0.8094","-6.303"
"RNF38","0.1359","10.09","1.104","0.273","0.4676","-5.805"
"KIAA0649","0.1359","9.202","0.7587","0.4503","0.6363","-6.118"
"PRAMEF1","0.1359","-0.907","1.178","0.2421","0.4312","-5.723"
