"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DUSP16","-0.06706","9.654","-0.5871","0.5588","0.7304","-6.232"
"TTTY6","-0.06719","-0.9664","-1.371","0.1743","0.3455","-5.486"
"GMEB1","-0.06719","6.809","-0.5622","0.5756","0.7437","-6.246"
"TMIGD1","-0.0672","-0.915","-0.8421","0.4023","0.5927","-6.053"
"ZCRB1","-0.06725","9.945","-0.5734","0.568","0.7371","-6.239"
"POLR3E","-0.06725","9.095","-0.7208","0.4731","0.6562","-6.146"
"GGA3","-0.06728","9.793","-0.8114","0.4196","0.6094","-6.078"
"ETS2","-0.06731","9.876","-0.3447","0.7312","0.862","-6.342"
"UCK1","-0.06743","10.29","-0.7733","0.4416","0.6292","-6.107"
"GNGT1","-0.06746","-0.7472","-0.2629","0.7933","0.9052","-6.367"
"C17orf54","-0.06748","-0.7943","-0.6112","0.5428","0.717","-6.217"
"SNORA58","-0.06752","-0.9662","-1.743","0.08527","0.2117","-4.933"
"NDUFAF1","-0.06754","8.762","-0.6043","0.5474","0.7208","-6.221"
"CHMP4C","-0.06756","2.47","-0.1888","0.8508","0.9437","-6.383"
"FAM35A","-0.06762","8.619","-0.6307","0.5301","0.7059","-6.205"
"ZNF773","-0.06763","7.149","-0.6004","0.55","0.7231","-6.224"
"PPA2","-0.06763","9.707","-0.5497","0.5841","0.751","-6.252"
"FLG2","-0.06768","-0.6705","-0.4936","0.6229","0.7831","-6.281"
"NAT9","-0.06768","9.228","-0.599","0.5509","0.7239","-6.225"
"NOL7","-0.06772","9.335","-0.941","0.3495","0.5425","-5.967"
"DTYMK","-0.06773","9.713","-0.3279","0.7438","0.8711","-6.348"
"OR4M1","-0.06778","-0.8916","-0.7517","0.4545","0.6402","-6.124"
"PCDHB19P","-0.06781","3.542","-0.3074","0.7594","0.8823","-6.354"
"TMEM218","-0.06787","9.041","-0.3545","0.7239","0.8571","-6.339"
"FADS1","-0.06792","11.12","-0.4958","0.6214","0.7819","-6.28"
"PHF20L1","-0.06794","9.702","-0.8176","0.416","0.6058","-6.073"
"FLJ44082","-0.06806","-0.966","-1.409","0.1627","0.3313","-5.435"
"AKR7A2","-0.06808","9.767","-0.5572","0.579","0.7466","-6.248"
"OR1J4","-0.06808","-0.9191","-1.156","0.251","0.4422","-5.748"
"MSLNL","-0.06809","-0.7113","-0.4853","0.6288","0.7875","-6.285"
"STK11IP","-0.06809","8.767","-0.7873","0.4334","0.622","-6.097"
"UBE2D1","-0.0681","8.346","-0.8275","0.4105","0.6003","-6.065"
"VPS25","-0.06811","10.04","-0.5685","0.5713","0.7396","-6.242"
"PRAMEF4","-0.06812","-0.8752","-0.5925","0.5552","0.727","-6.228"
"UGT2B15","-0.06813","-0.6964","-0.4112","0.6821","0.8269","-6.318"
"NFXL1","-0.06816","7.54","-0.9565","0.3417","0.5389","-5.953"
"CIB2","-0.06817","8.186","-0.406","0.6858","0.8296","-6.32"
"EIF3G","-0.06819","11.18","-0.7036","0.4837","0.6649","-6.158"
"SEMA4C","-0.06833","9.906","-0.6025","0.5485","0.7218","-6.222"
"ASB14","-0.06834","3.305","-0.5358","0.5936","0.7585","-6.26"
"MPHOSPH6","-0.06834","8.444","-0.653","0.5157","0.6937","-6.191"
"ZC3H13","-0.06834","9.951","-0.4282","0.6697","0.8184","-6.311"
"AGBL4","-0.06835","4.525","-0.1871","0.852","0.9447","-6.384"
"DNAJB12","-0.06838","9.489","-0.983","0.3286","0.5277","-5.928"
"ZNF256","-0.06842","6.827","-0.584","0.5609","0.7317","-6.233"
"IQSEC1","-0.0685","10.65","-0.3531","0.7249","0.8579","-6.34"
"FAM84A","-0.06853","9.109","-0.2257","0.822","0.9238","-6.376"
"HPS4","-0.06858","9.617","-0.5952","0.5534","0.7254","-6.227"
"ELAVL1","-0.0686","10.95","-0.9136","0.3637","0.5559","-5.992"
"PXK","-0.06884","8.319","-0.569","0.571","0.7394","-6.242"
"ZNF652","-0.06887","9.581","-0.5773","0.5654","0.7352","-6.237"
"LYPLA1","-0.06888","10.31","-0.3805","0.7046","0.8429","-6.33"
"U2AF2","-0.06897","11.82","-0.8032","0.4243","0.6137","-6.084"
"DGKQ","-0.06903","8.226","-0.3988","0.6911","0.8332","-6.323"
"CHST1","-0.06904","8.671","-0.2331","0.8163","0.9207","-6.374"
"RBM17","-0.06905","10.17","-0.7986","0.4269","0.616","-6.088"
"MAGEB2","-0.06905","-0.7974","-0.6287","0.5313","0.707","-6.207"
"HLTF","-0.06907","9.911","-0.6152","0.5402","0.7149","-6.215"
"AFARP1","-0.06917","1.819","-0.3017","0.7637","0.8853","-6.356"
"AP2M1","-0.06921","13.08","-0.7574","0.4511","0.6369","-6.119"
"DAZAP1","-0.06925","9.569","-0.7193","0.4741","0.6567","-6.147"
"LOC150776","-0.06929","8.34","-0.358","0.7213","0.8555","-6.338"
"NFKBIL1","-0.06946","8.823","-0.7344","0.4649","0.6484","-6.136"
"MBNL2","-0.06952","9.879","-0.4754","0.6358","0.7932","-6.29"
"POPDC3","-0.06961","4.731","-0.1481","0.8826","0.9637","-6.39"
"DBX1","-0.06964","-0.5641","-0.4714","0.6386","0.7952","-6.292"
"DNAJC16","-0.06972","8.975","-0.73","0.4676","0.6513","-6.139"
"SGSM2","-0.06973","10.84","-0.4408","0.6605","0.8117","-6.305"
"C20orf111","-0.06983","9.936","-0.4882","0.6268","0.7859","-6.284"
"DPRX","-0.06989","-0.8966","-0.9689","0.3355","0.534","-5.941"
"TAT","-0.06998","1.435","-0.1674","0.8675","0.9542","-6.387"
"MRPS14","-0.07006","9.101","-0.647","0.5195","0.6974","-6.195"
"MRPL24","-0.0701","10.31","-0.6062","0.5461","0.7197","-6.22"
"CX3CL1","-0.07021","10.57","-0.3425","0.7328","0.8634","-6.343"
"SNORA55","-0.07026","-0.8539","-0.5759","0.5663","0.7359","-6.238"
"FGFR1OP2","-0.07029","9.315","-0.7563","0.4517","0.6375","-6.12"
"SNHG5","-0.07032","9.297","-0.3268","0.7447","0.8718","-6.348"
"VKORC1L1","-0.07033","10.25","-0.7728","0.442","0.6294","-6.108"
"SNORA1","-0.07038","-0.9648","-1.359","0.1781","0.3508","-5.502"
"ABCA3","-0.07043","11.28","-0.4481","0.6553","0.8079","-6.302"
"TUBAL3","-0.07047","0.2874","-0.2746","0.7844","0.8993","-6.364"
"PMCHL2","-0.07053","-0.9647","-1.747","0.08461","0.2108","-4.927"
"RNF7","-0.07055","10.14","-0.5985","0.5512","0.724","-6.225"
"ZNF284","-0.07063","5.657","-0.4857","0.6285","0.7872","-6.285"
"DDB1","-0.07066","12.45","-0.9144","0.3633","0.5556","-5.991"
"LOC643486","-0.07072","-0.9646","-1.347","0.1819","0.3556","-5.518"
"TAS2R38","-0.07076","-0.9429","-0.9413","0.3494","0.5424","-5.967"
"SCGBL","-0.07081","0.1351","-0.3492","0.7279","0.8597","-6.341"
"NOTO","-0.07082","-0.8236","-0.6643","0.5085","0.6871","-6.184"
"KRTAP3.3","-0.07085","-0.9416","-1.39","0.1683","0.3371","-5.46"
"SH3BP5L","-0.0709","9.937","-0.9417","0.3492","0.5422","-5.967"
"PPFIBP1","-0.07091","9.382","-0.3972","0.6923","0.8341","-6.323"
"OR1A2","-0.07097","-0.9411","-1.38","0.1714","0.3414","-5.474"
"ZNF701","-0.071","6.331","-0.4554","0.6501","0.8044","-6.299"
"ALS2CR4","-0.07104","9.996","-0.6395","0.5244","0.7015","-6.2"
"USP50","-0.07104","-0.7613","-0.6135","0.5413","0.7158","-6.216"
"PMS2L3","-0.07105","5.746","-0.4161","0.6784","0.8243","-6.316"
"AMMECR1L","-0.07107","9.403","-0.9468","0.3466","0.5403","-5.962"
"MOGAT2","-0.07108","-0.6574","-0.4059","0.6859","0.8296","-6.32"
"NCBP1","-0.07108","9.921","-0.7588","0.4502","0.6363","-6.118"
"CDKN2AIP","-0.07111","8.961","-0.8247","0.412","0.6016","-6.067"
"PEX16","-0.07112","8.724","-0.7188","0.4744","0.657","-6.147"
"ZXDB","-0.07114","8.496","-0.6869","0.4942","0.6745","-6.169"
"USP27X","-0.07117","6.985","-0.4768","0.6348","0.7925","-6.289"
"TAF4B","-0.07124","5.819","-0.4236","0.673","0.8207","-6.313"
"NCAPH","-0.07128","7.767","-0.2128","0.832","0.9304","-6.379"
"HAUS7","-0.07129","8.631","-0.6512","0.5168","0.6949","-6.193"
"PPIAL4D","-0.07138","0.5775","-0.4146","0.6796","0.8249","-6.316"
"RNF113A","-0.0714","8.26","-0.7432","0.4596","0.6443","-6.13"
"ROBO4","-0.07146","9.377","-0.3791","0.7056","0.8437","-6.33"
"PTRH2","-0.07147","8.573","-0.7098","0.4799","0.6614","-6.154"
"MARCH1","-0.0715","7.361","-0.2651","0.7917","0.9043","-6.366"
"C17orf73","-0.07166","-0.9371","-1.304","0.1961","0.3746","-5.573"
"CCDC63","-0.07167","-0.7376","-0.575","0.5669","0.7362","-6.238"
"ACTR1B","-0.0717","10.63","-0.8156","0.4172","0.6069","-6.075"
"CNOT10","-0.07178","8.996","-0.8436","0.4014","0.5917","-6.052"
"ZBED4","-0.07182","8.706","-0.4924","0.6238","0.7836","-6.282"
"ZNF225","-0.07184","6.484","-0.6392","0.5246","0.7016","-6.2"
"RPS6KC1","-0.07185","9.305","-0.886","0.3783","0.571","-6.016"
"PEX14","-0.07188","9.092","-0.9322","0.3541","0.5466","-5.975"
"C20orf144","-0.07191","-0.4399","-0.4238","0.6729","0.8205","-6.313"
"C22orf30","-0.07191","9.142","-0.4851","0.6289","0.7876","-6.285"
"ACVRL1","-0.07191","8.6","-0.4484","0.6551","0.8078","-6.302"
"AP2A2","-0.07191","11.14","-0.5672","0.5722","0.7405","-6.243"
"UBAC1","-0.07203","10.14","-0.9407","0.3497","0.5426","-5.967"
"TCEAL8","-0.07203","10.03","-0.74","0.4615","0.6456","-6.132"
"CSN1S1","-0.07204","-0.6282","-0.3194","0.7503","0.8762","-6.351"
"CTAGE5","-0.07206","8.388","-0.6921","0.4909","0.6715","-6.166"
"KIAA1715","-0.07216","9.97","-0.7581","0.4506","0.6366","-6.119"
"HNRNPCL1","-0.07219","-0.9639","-0.9996","0.3206","0.5199","-5.912"
"SRC","-0.07221","9.598","-0.5383","0.5919","0.7573","-6.258"
"C5orf52","-0.0723","-0.8946","-0.9922","0.3241","0.5237","-5.919"
"TRIM46","-0.0723","7.592","-0.4005","0.6898","0.8325","-6.322"
"BCR","-0.07235","10.75","-0.3872","0.6997","0.8394","-6.327"
"RPS4Y2","-0.07238","-0.9638","-1.401","0.1653","0.3342","-5.447"
"KDM6B","-0.0724","9.116","-0.3909","0.6969","0.8368","-6.326"
"GINS2","-0.07245","8.074","-0.2373","0.8131","0.9186","-6.373"
"SNRPF","-0.07251","9.289","-0.5963","0.5527","0.7251","-6.226"
"NSFL1C","-0.07252","10.85","-1.04","0.3014","0.5002","-5.872"
"MAGEA10","-0.07255","-0.9382","-0.8919","0.3751","0.5678","-6.011"
"CPSF7","-0.07256","11.22","-0.9008","0.3705","0.5632","-6.003"
"WIBG","-0.07257","8.85","-0.6809","0.4979","0.6783","-6.173"
"FAM194A","-0.07257","0.7826","-0.3138","0.7545","0.8797","-6.352"
"SDHAP3","-0.07259","7.127","-0.4555","0.65","0.8044","-6.299"
"ADAT1","-0.07264","7.747","-0.565","0.5737","0.742","-6.244"
"TAS2R1","-0.07267","-0.5268","-0.4113","0.682","0.8269","-6.318"
"ZNF564","-0.07268","7.776","-0.8367","0.4053","0.5954","-6.058"
"ZNF232","-0.07271","7.85","-0.5578","0.5786","0.7463","-6.248"
"PLIN4","-0.07281","4.866","-0.2141","0.831","0.9299","-6.378"
"MED18","-0.07282","8.308","-0.4624","0.645","0.8005","-6.296"
"C14orf21","-0.07282","7.461","-0.4248","0.6721","0.8202","-6.312"
"KRTAP4.4","-0.07284","-0.9341","-1.094","0.2772","0.4728","-5.816"
"TRIM7","-0.07288","4.803","-0.3711","0.7115","0.8481","-6.333"
"CCDC88A","-0.0729","11.2","-0.6374","0.5257","0.7024","-6.201"
"TAS2R9","-0.07293","-0.9134","-0.7811","0.4371","0.6252","-6.102"
"MGC4473","-0.073","-0.4465","-0.2397","0.8112","0.9175","-6.373"
"LRP8","-0.07304","8.406","-0.4296","0.6687","0.8179","-6.31"
"FZD10","-0.07313","3.994","-0.3059","0.7604","0.8829","-6.355"
"TBC1D23","-0.07321","9.794","-0.8368","0.4053","0.5954","-6.058"
"SSR2","-0.07321","11.98","-0.4536","0.6514","0.8052","-6.3"
"MUDENG","-0.07325","9.384","-0.9235","0.3586","0.5507","-5.983"
"HYAL3","-0.07327","6.566","-0.4461","0.6568","0.809","-6.303"
"NAA35","-0.07327","8.761","-0.9092","0.366","0.5583","-5.996"
"LRIG2","-0.07328","7.256","-0.6209","0.5365","0.7118","-6.211"
"MED13","-0.0733","10.42","-0.6903","0.4921","0.6726","-6.167"
"TCP10","-0.07331","-0.8583","-0.602","0.5489","0.722","-6.223"
"HDGFL1","-0.07341","-0.7489","-0.5687","0.5712","0.7396","-6.242"
"NEUROG1","-0.07347","-0.7293","-0.5172","0.6065","0.7696","-6.269"
"RAD54L2","-0.0735","7.122","-0.3053","0.7609","0.8834","-6.355"
"HAUS8","-0.07351","7.201","-0.4143","0.6798","0.825","-6.316"
"RANBP3","-0.07351","10.58","-1.038","0.3026","0.5015","-5.874"
"GAGE12D","-0.07354","-0.7884","-0.5545","0.5808","0.7482","-6.25"
"DHX33","-0.07357","8.45","-0.508","0.6129","0.775","-6.274"
"TMPRSS2","-0.07358","2.059","-0.1908","0.8491","0.9429","-6.383"
"ASB11","-0.07363","-0.6467","-0.4227","0.6737","0.8209","-6.313"
"CCDC105","-0.07366","-0.9632","-1.321","0.1902","0.3667","-5.55"
"RAD51","-0.07373","6.708","-0.2293","0.8193","0.9222","-6.375"
"THUMPD1","-0.07375","9.472","-0.8241","0.4124","0.602","-6.068"
"ERCC6","-0.07382","6.771","-0.5295","0.5979","0.7624","-6.263"
"HCG9","-0.07383","-0.224","-0.3999","0.6903","0.8329","-6.322"
"POLR2G","-0.07394","10.99","-0.4385","0.6622","0.8129","-6.306"
"ZC3H7A","-0.07395","9.808","-1.031","0.3055","0.5046","-5.88"
"PAIP1","-0.074","9.436","-0.9473","0.3464","0.5402","-5.961"
"THAP5","-0.07407","9.707","-0.8174","0.4162","0.6059","-6.073"
"CLPX","-0.07414","9.355","-0.8624","0.3911","0.5824","-6.036"
"LOC407835","-0.07419","7.472","-0.7125","0.4783","0.6605","-6.152"
"TMEM72","-0.07424","-0.6912","-0.5229","0.6025","0.7664","-6.266"
"RNF187","-0.07432","12.1","-0.8394","0.4038","0.5939","-6.055"
"NEK2","-0.07435","7.26","-0.2278","0.8204","0.9229","-6.375"
"CYP2C9","-0.07442","-0.8397","-0.8052","0.4231","0.6127","-6.083"
"ZFATAS","-0.07442","-0.5897","-0.5351","0.5941","0.7588","-6.26"
"MLL","-0.07452","10.21","-0.418","0.6771","0.8232","-6.315"
"ZNF140","-0.07455","8.946","-0.6701","0.5047","0.6843","-6.18"
"RAB28","-0.07459","9.049","-0.7726","0.4421","0.6294","-6.108"
"BTBD1","-0.07461","11.08","-0.9566","0.3417","0.5389","-5.953"
"SLC16A7","-0.07462","3.816","-0.2136","0.8314","0.9301","-6.378"
"C12orf52","-0.07465","8.933","-0.7986","0.4269","0.616","-6.088"
"SURF1","-0.07468","9.815","-0.4976","0.6201","0.7809","-6.279"
"MRGPRX2","-0.07471","-0.9356","-1.301","0.197","0.3754","-5.576"
"GPR113","-0.07472","2.813","-0.3473","0.7293","0.8607","-6.342"
"C19orf52","-0.07474","8.17","-0.9786","0.3308","0.5299","-5.932"
"DEFA5","-0.07486","-0.9124","-1.026","0.3079","0.5071","-5.886"
"KIAA0831","-0.07494","8.938","-0.6108","0.5431","0.7172","-6.218"
"THOC3","-0.07495","9.091","-0.6222","0.5356","0.711","-6.211"
"ZBTB17","-0.07496","9.149","-0.7274","0.4691","0.6527","-6.141"
"STRN3","-0.07503","8.774","-0.7118","0.4787","0.6607","-6.152"
"GPN3","-0.07508","8.744","-0.6273","0.5323","0.7079","-6.208"
"SPAG6","-0.07509","1.777","-0.2363","0.8138","0.9192","-6.373"
"PROL1","-0.07512","-0.939","-0.9777","0.3312","0.5304","-5.933"
"NEDD4L","-0.07513","9.557","-0.3559","0.7229","0.8566","-6.339"
"BTF3L1","-0.0752","-0.9624","-1.751","0.08379","0.2094","-4.919"
"STRADA","-0.0755","10.17","-1.057","0.2939","0.4923","-5.855"
"MAGOHB","-0.07553","7.986","-0.5365","0.5932","0.7584","-6.259"
"DGCR8","-0.07557","9.552","-0.5854","0.5599","0.7311","-6.232"
"TLE6","-0.07561","4.973","-0.188","0.8513","0.9443","-6.384"
"PARK7","-0.07563","12.25","-0.4871","0.6275","0.7865","-6.284"
"TTLL12","-0.07572","9.37","-0.5955","0.5532","0.7254","-6.227"
"TUBGCP3","-0.07574","9.115","-0.6322","0.5291","0.7051","-6.205"
"ZNF764","-0.07575","7.371","-0.7724","0.4422","0.6294","-6.108"
"SLC7A6","-0.07587","9.563","-0.6471","0.5195","0.6974","-6.195"
"LIMS3.LOC440895","-0.07589","3.772","-0.2109","0.8335","0.9314","-6.379"
"HS3ST6","-0.07589","-0.9366","-1.373","0.1736","0.3447","-5.483"
"UBQLN2","-0.07589","10.45","-0.8118","0.4194","0.6092","-6.078"
"MED16","-0.07592","10.54","-0.6327","0.5288","0.7048","-6.204"
"NAA25","-0.07607","8.857","-0.7414","0.4607","0.6452","-6.131"
"EIF4G3","-0.07611","10.81","-0.5796","0.5639","0.7338","-6.236"
"PSG7","-0.07615","-0.8559","-0.7229","0.4719","0.6552","-6.144"
"RASSF2","-0.07616","12.1","-0.3597","0.72","0.8545","-6.337"
"DNAJC24","-0.0762","8.846","-0.7549","0.4526","0.6381","-6.121"
"PPEF2","-0.07622","-0.1979","-0.4344","0.6651","0.8151","-6.308"
"ZNF131","-0.07637","9.118","-1.106","0.272","0.4665","-5.803"
"DIAPH3","-0.07639","6.494","-0.3127","0.7553","0.8803","-6.353"
"CHKB","-0.07641","7.316","-0.4764","0.6351","0.7927","-6.289"
"KLK11","-0.07642","-0.8356","-0.6361","0.5266","0.7032","-6.202"
"SNRPB2","-0.07647","10.03","-0.6563","0.5136","0.6921","-6.189"
"SKA3","-0.07651","7.175","-0.2183","0.8277","0.9282","-6.377"
"KLF2","-0.07657","7.764","-0.3956","0.6934","0.8345","-6.324"
"FLJ33360","-0.07662","2.078","-0.2694","0.7884","0.9022","-6.365"
"CYP2C8","-0.0768","1.981","-0.1682","0.8669","0.9541","-6.387"
"ZNF770","-0.07683","9.509","-0.5867","0.5591","0.7306","-6.232"
"LOC644936","-0.07697","0.2733","-0.2567","0.7981","0.9086","-6.368"
"TUBA1B","-0.07699","15.38","-0.5441","0.5879","0.7543","-6.255"
"COG2","-0.07701","9.525","-0.7672","0.4452","0.6319","-6.112"
"GRWD1","-0.07705","9.301","-0.7717","0.4426","0.6298","-6.109"
"MEG8","-0.07709","-0.0007503","-0.3124","0.7555","0.8805","-6.353"
"RNF25","-0.07711","9.423","-1.02","0.3107","0.5099","-5.891"
"SPCS2","-0.07712","9.179","-0.7585","0.4504","0.6364","-6.119"
"TRPM1","-0.07712","-0.2945","-0.3603","0.7196","0.8543","-6.337"
"GPR116","-0.07722","9.204","-0.4224","0.6739","0.821","-6.313"
"LASS5","-0.07724","10.44","-0.6999","0.4861","0.6669","-6.16"
"C5orf45","-0.07725","8.201","-0.5754","0.5667","0.7361","-6.238"
"DHX9","-0.07728","11.88","-1.031","0.3057","0.5047","-5.881"
"GLOD5","-0.07733","-0.622","-0.5757","0.5665","0.7359","-6.238"
"CISD3","-0.07734","9.241","-0.7236","0.4714","0.6548","-6.144"
"ZNF721","-0.07735","8.9","-0.6591","0.5117","0.6902","-6.187"
"LOC400657","-0.07737","8.561","-0.7444","0.4588","0.6437","-6.129"
"C12orf75","-0.07738","7.549","-0.4585","0.6479","0.8028","-6.298"
"CKAP2L","-0.0774","7.144","-0.2373","0.813","0.9186","-6.373"
"PARM1","-0.07743","8.06","-0.2067","0.8368","0.9334","-6.38"
"CUTC","-0.07743","8.083","-0.6691","0.5054","0.6848","-6.181"
"TRPM5","-0.0775","-0.149","-0.4405","0.6607","0.8119","-6.305"
"NBPF4","-0.07752","-0.5585","-0.4864","0.628","0.7868","-6.285"
"C21orf49","-0.07754","3.397","-0.3974","0.6921","0.8339","-6.323"
"ATAD2B","-0.07762","7.561","-0.5549","0.5805","0.748","-6.25"
"ZFP42","-0.07769","-0.8496","-0.6666","0.507","0.6861","-6.183"
"ZNF76","-0.07771","9.435","-0.8374","0.4049","0.595","-6.057"
"ZNF304","-0.07775","8.512","-0.7624","0.4481","0.6346","-6.116"
"TAF5L","-0.07778","9.061","-0.9078","0.3668","0.5591","-5.997"
"SMEK2","-0.07783","10.67","-1.041","0.3011","0.4998","-5.871"
"RGP1","-0.07783","6.406","-0.4122","0.6813","0.8264","-6.317"
"CNBP","-0.07788","12.75","-0.8129","0.4187","0.6085","-6.077"
"AMHR2","-0.07789","-0.7658","-0.6687","0.5056","0.6849","-6.181"
"TAF7","-0.07789","12.06","-0.5994","0.5506","0.7237","-6.224"
"CYB5R2","-0.07791","6.289","-0.2417","0.8096","0.9164","-6.372"
"NBPF1","-0.07793","9.478","-0.5191","0.6051","0.7686","-6.268"
"TH1L","-0.07798","10.79","-0.7972","0.4277","0.6169","-6.089"
"ABLIM1","-0.07798","11","-0.4351","0.6647","0.8148","-6.308"
"CCDC6","-0.07802","9.762","-0.6091","0.5442","0.7182","-6.219"
"MRPL3","-0.07804","10.52","-0.9286","0.3559","0.5481","-5.978"
"POLL","-0.07814","8.49","-0.9181","0.3614","0.5536","-5.988"
"WFDC10A","-0.07827","-0.9236","-1.114","0.2685","0.4625","-5.794"
"FAM45B","-0.07834","7.151","-0.7601","0.4495","0.6358","-6.117"
"DHX57","-0.07835","9.256","-1.014","0.3139","0.5129","-5.898"
"UGT2B10","-0.07835","-0.9608","-1.42","0.1596","0.3269","-5.42"
"C19orf47","-0.07845","8.127","-0.8576","0.3937","0.5847","-6.04"
"TUBG2","-0.07847","9.715","-0.5516","0.5828","0.7498","-6.251"
"HIRIP3","-0.07848","9.313","-0.6789","0.4992","0.6794","-6.175"
"FXYD1","-0.07853","7.497","-0.1893","0.8503","0.9435","-6.383"
"TSIX","-0.07865","3.072","-0.09603","0.9237","0.9903","-6.396"
"HIC2","-0.0787","6.826","-0.4053","0.6863","0.8298","-6.32"
"UBXN2B","-0.07877","10.03","-1.023","0.3093","0.5085","-5.889"
"MAP2K7","-0.07879","9.388","-0.8835","0.3797","0.5723","-6.018"
"BCL2L2","-0.07881","9.686","-0.4119","0.6816","0.8265","-6.317"
"SCLY","-0.07886","8.285","-1.026","0.3078","0.507","-5.885"
"ZNF599","-0.07888","7.294","-0.7275","0.4691","0.6527","-6.141"
"ZNF33A","-0.0789","8.462","-0.6455","0.5205","0.6982","-6.196"
"CEACAM8","-0.07891","-0.2157","-0.3566","0.7223","0.8563","-6.338"
"ASGR1","-0.07893","5.912","-0.4305","0.668","0.8175","-6.31"
"NSUN5P2","-0.07897","8.892","-0.3654","0.7158","0.8511","-6.335"
"MFN2","-0.07898","11.45","-0.8686","0.3877","0.5796","-6.031"
"TCL1B","-0.07906","-0.5393","-0.4881","0.6268","0.7859","-6.284"
"EPS15","-0.07912","10.85","-0.7195","0.474","0.6567","-6.147"
"PARP11","-0.07916","8.247","-0.8671","0.3885","0.5803","-6.032"
"UBE2D3","-0.07918","12.22","-0.9349","0.3527","0.5454","-5.973"
"TOX4","-0.07926","10.5","-0.9946","0.323","0.5224","-5.917"
"C1orf50","-0.07933","7.753","-0.7213","0.4729","0.6559","-6.146"
"NUDCD3","-0.07935","11.77","-0.7871","0.4336","0.6222","-6.097"
"CREM","-0.07947","9.2","-0.5484","0.5849","0.7516","-6.253"
"TTC8","-0.0795","8.618","-0.7204","0.4734","0.6563","-6.146"
"POLRMT","-0.07953","9.382","-0.6656","0.5076","0.6866","-6.183"
"ETS1","-0.07959","10.07","-0.4151","0.6792","0.8247","-6.316"
"SNORA32","-0.07962","-0.9602","-1.987","0.05033","0.1456","-4.503"
"ZNF133","-0.07964","8.604","-0.8673","0.3884","0.5802","-6.032"
"FECH","-0.07971","9.377","-0.8118","0.4193","0.6092","-6.078"
"ATMIN","-0.07971","10.43","-0.8546","0.3954","0.5863","-6.043"
"ZFPL1","-0.07972","9.195","-1.042","0.3006","0.4993","-5.87"
"OR6X1","-0.07973","-0.9601","-1.285","0.2025","0.3828","-5.596"
"C2orf47","-0.07976","8.051","-0.9593","0.3404","0.5381","-5.95"
"ANAPC13","-0.07996","10.54","-0.9031","0.3692","0.5618","-6.001"
"REG3G","-0.07997","-0.9401","-1.301","0.1969","0.3754","-5.576"
"MAPRE2","-0.08002","11.09","-0.7267","0.4696","0.6531","-6.142"
"NXF5","-0.08008","-0.3282","-0.4058","0.686","0.8297","-6.32"
"PUS3","-0.0802","7.737","-0.7829","0.436","0.6241","-6.1"
"UCN3","-0.08021","-0.9599","-1.725","0.08841","0.2174","-4.962"
"CDH5","-0.08021","9.208","-0.4086","0.684","0.8283","-6.319"
"DCAF8","-0.08025","11.2","-1.068","0.2888","0.4861","-5.843"
"CLEC1A","-0.0803","5.511","-0.3679","0.714","0.8497","-6.334"
"AASDH","-0.08035","8.115","-0.8837","0.3795","0.5722","-6.018"
"LOC100240726","-0.08044","2.931","-0.3128","0.7553","0.8803","-6.353"
"CATSPER3","-0.08056","3.073","-0.3881","0.699","0.8388","-6.327"
"NGFR","-0.08057","8.982","-0.2458","0.8064","0.9144","-6.371"
"RNF115","-0.08059","8.778","-0.8554","0.3949","0.5859","-6.042"
"GTF3C3","-0.08076","9.019","-0.989","0.3257","0.5253","-5.922"
"C14orf166","-0.08078","10.62","-0.7474","0.457","0.6422","-6.127"
"RNF13","-0.08093","11.22","-0.5797","0.5638","0.7338","-6.236"
"MTO1","-0.08093","8.337","-0.9853","0.3275","0.5267","-5.926"
"CCNA2","-0.08096","8.407","-0.2629","0.7933","0.9052","-6.367"
"OR5V1","-0.08104","-0.9595","-1.713","0.09065","0.2207","-4.982"
"MRO","-0.08108","9.062","-0.3123","0.7556","0.8805","-6.353"
"KIDINS220","-0.08109","11.32","-0.5823","0.562","0.7324","-6.234"
"GNPNAT1","-0.08114","9.079","-0.8233","0.4128","0.6026","-6.068"
"EME2","-0.08116","4.149","-0.312","0.7559","0.8807","-6.353"
"ACCSL","-0.08117","-0.7799","-0.8353","0.4061","0.5959","-6.059"
"LOC100302401","-0.0812","4.296","-0.5152","0.6079","0.7707","-6.27"
"LRFN4","-0.08122","9.403","-0.5932","0.5547","0.7266","-6.228"
"NF1P1","-0.08126","-0.9594","-1.001","0.3199","0.5193","-5.911"
"C9orf86","-0.08136","11.04","-0.775","0.4407","0.6284","-6.106"
"AMD1","-0.08137","11.14","-0.6074","0.5453","0.719","-6.22"
"PNLIP","-0.08138","-0.9593","-1.405","0.1641","0.3326","-5.441"
"SDF2","-0.08143","9.855","-0.727","0.4694","0.653","-6.141"
"GPX5","-0.0815","-0.9329","-1.535","0.1287","0.283","-5.257"
"SPDYE4","-0.08151","-0.9592","-1.751","0.08378","0.2094","-4.919"
"C11orf74","-0.08158","7.545","-0.7954","0.4288","0.6177","-6.091"
"SYNRG","-0.08159","9.95","-1.137","0.2588","0.4509","-5.769"
"AMAC1L2","-0.08162","0.6452","-0.3712","0.7115","0.8481","-6.333"
"ZNF823","-0.08163","6.442","-0.7153","0.4765","0.659","-6.15"
