"baseMean","log2FoldChange","stat","pvalue","padj","B","symbol"
5.198,1.52,4.868,5.668e-06,0.0002371,3.77,"C4orf47"
1.223,1.519,4.21,6.704e-05,0.001312,1.455,"POU2F3"
2.731,1.517,3.858,0.0002322,0.003107,0.3003,"FCAR"
3.832,1.516,3.094,0.002733,0.01768,-1.957,"MME"
8.209,1.515,3.909,0.0001944,0.002747,0.4648,"MXRA5"
6.854,1.514,3.807,0.0002761,0.00349,0.14,"MTTP"
0.6945,1.513,3.175,0.00214,0.01479,-1.736,"CCL13"
3.811,1.513,3.85,0.0002383,0.003165,0.2761,"IL10"
4.175,1.511,4.962,3.934e-06,0.0001871,4.114,"ELF3"
1.097,1.51,2.793,0.00655,0.03344,-2.741,"KRT16"
1.297,1.505,2.925,0.004498,0.02537,-2.405,"LOC647309"
4.499,1.502,4.457,2.711e-05,0.000708,2.301,"FHAD1"
4.631,1.496,4.948,4.159e-06,0.0001938,4.062,"ACAP1"
3.608,1.496,4.947,4.17e-06,0.0001939,4.059,"IL18R1"
1.058,1.496,4.696,1.1e-05,0.0003849,3.146,"CHST4"
7.412,1.495,5.274,1.138e-06,7.948e-05,5.284,"SECTM1"
1.368,1.49,3.644,0.0004787,0.005122,-0.3676,"LRRC18"
12.04,1.488,4.37,3.74e-05,0.000866,2,"EFEMP1"
8.408,1.486,5.503,4.478e-07,4.416e-05,6.166,"VASN"
4.698,1.484,2.45,0.01649,0.06524,-3.553,"DSG2"
6.493,1.483,3.696,0.0004028,0.004544,-0.2087,"G0S2"
10.27,1.482,7.765,2.509e-11,5.143e-08,15.46,"CEBPD"
6.381,1.481,4.402,3.332e-05,0.000811,2.108,"TTC12"
8.444,1.475,3.731,0.0003577,0.004136,-0.09912,"ERAP2"
11.08,1.475,3.864,0.0002276,0.003059,0.3186,"COL6A2"
11.7,1.474,5.937,7.38e-08,1.21e-05,7.875,"SERPING1"
9.23,1.473,6.319,1.449e-08,3.962e-06,9.42,"FBXO32"
5.299,1.472,4.212,6.667e-05,0.001309,1.46,"PODNL1"
8.701,1.469,4.758,8.675e-06,0.0003288,3.37,"CAPS"
8.609,1.467,3.596,0.0005616,0.005756,-0.5147,"GBP3"
1.872,1.465,3.824,0.0002608,0.00334,0.1927,"CATSPER1"
2.707,1.465,3.131,0.002445,0.01635,-1.857,"AK7"
4.241,1.465,3.087,0.00279,0.01791,-1.976,"DNAH11"
8.684,1.461,4.921,4.61e-06,0.0002081,3.965,"C1orf88"
0.4108,1.461,4.782,7.931e-06,0.0003085,3.454,"CD300E"
2.041,1.459,3.46,0.0008745,0.007887,-0.9209,"NUP62CL"
5.53,1.455,5.518,4.22e-07,4.261e-05,6.223,"NOD2"
3.664,1.455,4.031,0.0001273,0.002052,0.8576,"SLAMF6"
9.954,1.454,5.574,3.341e-07,3.523e-05,6.444,"GBP2"
7.405,1.452,4.788,7.723e-06,0.0003017,3.479,"SLAMF8"
3.007,1.452,3.641,0.000483,0.005157,-0.3759,"SALL4"
6.484,1.451,3.533,0.0006906,0.006644,-0.7045,"TC2N"
1.378,1.451,2.853,0.005532,0.02957,-2.59,"LBP"
5.931,1.447,4.281,5.194e-05,0.001094,1.693,"C11orf63"
2.623,1.445,3.881,0.0002145,0.00294,0.3734,"TMEM61"
6.19,1.441,4.16,8.029e-05,0.001487,1.287,"BCL2A1"
8.24,1.439,5.101,2.273e-06,0.000127,4.631,"FAM115C"
5.329,1.439,4.027,0.0001288,0.00207,0.8466,"C7orf29"
9.838,1.437,2.897,0.004873,0.02682,-2.477,"CXCL14"
4.539,1.434,2.58,0.01175,0.05079,-3.257,"WDR16"
7.656,1.433,5.118,2.122e-06,0.0001222,4.696,"NFKBIZ"
10.01,1.431,4.793,7.584e-06,0.0002979,3.496,"TNFRSF12A"
6.463,1.43,2.466,0.01582,0.06313,-3.517,"LGR6"
7.17,1.43,5.516,4.253e-07,4.274e-05,6.215,"SLC22A18"
7.659,1.426,6.171,2.733e-08,6.44e-06,8.818,"PLEKHA7"
9.43,1.424,7.192,3.213e-10,2.355e-07,13.04,"MYOF"
7.221,1.424,3.425,0.0009769,0.008504,-1.022,"GDF15"
3.085,1.422,4.329,4.356e-05,0.0009572,1.857,"CLECL1"
4.78,1.422,3.975,0.0001547,0.002342,0.6769,"MAP1LC3C"
8.368,1.422,4.33,4.342e-05,0.0009572,1.86,"MS4A4A"
5.579,1.418,5.811,1.253e-07,1.759e-05,7.373,"ANXA2P1"
8.708,1.418,6.233,2.096e-08,5.389e-06,9.069,"PLAUR"
0.07641,1.418,3.937,0.0001769,0.00256,0.5523,"CDHR4"
4.572,1.418,4.767,8.393e-06,0.0003225,3.401,"IL15"
4.927,1.416,2.712,0.008201,0.03929,-2.94,"VWA3A"
11.22,1.415,4.238,6.068e-05,0.001227,1.548,"TGFBI"
7.427,1.414,4.028,0.0001286,0.002067,0.8485,"ARSJ"
10.63,1.411,4.038,0.0001241,0.002014,0.8812,"FLNC"
5.146,1.407,4.452,2.768e-05,0.0007148,2.281,"SPATA17"
2.222,1.406,2.794,0.006534,0.0334,-2.739,"SCGB1D2"
3.681,1.405,4.607,1.545e-05,0.000491,2.828,"RSPH10B2"
6.489,1.404,3.022,0.003382,0.02053,-2.149,"MRC1"
4.463,1.403,3.915,0.000191,0.002715,0.4814,"C6orf118"
3.701,1.402,3.43,0.0009634,0.008433,-1.01,"CCR2"
2.309,1.401,3.104,0.002653,0.01732,-1.931,"DMBX1"
6.645,1.4,3.614,0.0005294,0.005524,-0.4604,"GJB2"
4.976,1.399,4.4,3.347e-05,0.0008129,2.103,"ETV7"
6.528,1.398,3.216,0.001882,0.0135,-1.62,"ESM1"
1.175,1.398,2.324,0.02267,0.08173,-3.829,"CAPSL"
9.111,1.396,3.643,0.0004798,0.005131,-0.3699,"COL5A1"
2.85,1.395,3.444,0.0009207,0.00816,-0.968,"FAM110C"
7.61,1.395,5.881,9.353e-08,1.464e-05,7.65,"MUC1"
2.369,1.395,3.237,0.001764,0.01288,-1.561,"S100A12"
3.926,1.395,4.073,0.0001097,0.001846,0.9956,"ACPP"
7.308,1.394,5.473,5.067e-07,4.679e-05,6.049,"ADAMTSL4"
3.507,1.394,3.33,0.00132,0.01054,-1.297,"LILRA5"
4.4,1.39,2.353,0.02109,0.0778,-3.766,"DKK1"
1.386,1.386,4.014,0.000135,0.002143,0.8034,"TRPC7"
3.83,1.386,4.448,2.807e-05,0.0007202,2.268,"ESR2"
5.145,1.385,4.305,4.746e-05,0.001022,1.777,"KIRREL2"
2.504,1.384,2.79,0.006604,0.03367,-2.748,"SPAG17"
3.654,1.384,2.383,0.01958,0.07369,-3.702,"CES1"
7.385,1.383,5.491,4.715e-07,4.517e-05,6.118,"CIITA"
2.648,1.382,4.493,2.368e-05,0.0006534,2.427,"C11orf35"
6.384,1.38,4.205,6.843e-05,0.001326,1.435,"PDCD1LG2"
11.7,1.38,3.852,0.0002371,0.003161,0.2808,"COL1A2"
10.91,1.375,5.19,1.594e-06,0.0001015,4.966,"FKBP5"
3.675,1.375,3.176,0.002129,0.01475,-1.731,"ROPN1L"
0.7887,1.375,3.23,0.001807,0.01314,-1.583,"LCN2"
4.696,1.375,2.479,0.01532,0.06173,-3.489,"UBXN10"
2.317,1.375,2.737,0.007652,0.03739,-2.879,"RASSF9"
7.011,1.374,4.077,0.000108,0.001833,1.01,"TNFRSF11B"
9.937,1.374,5.462,5.308e-07,4.773e-05,6.006,"RDH10"
2.71,1.372,3.958,0.0001643,0.002436,0.6206,"GCKR"
11.53,1.372,5.122,2.088e-06,0.0001212,4.711,"MMP14"
6.514,1.372,4.563,1.826e-05,0.0005474,2.671,"GCNT1"
4.731,1.37,4.628,1.427e-05,0.0004651,2.902,"MIR155HG"
4.69,1.368,3.1,0.002684,0.01745,-1.941,"CPZ"
3.79,1.356,4.484,2.45e-05,0.0006644,2.395,"WDR93"
4.981,1.356,3.825,0.00026,0.003331,0.1956,"C19orf51"
7.168,1.355,3.578,0.0005962,0.005992,-0.5695,"STC1"
4.997,1.355,4.365,3.811e-05,0.0008709,1.982,"VWA3B"
8.224,1.352,4.423,3.074e-05,0.0007675,2.183,"HSPA6"
7.905,1.349,6.155,2.928e-08,6.596e-06,8.752,"LEPREL1"
7.154,1.348,4.04,0.0001232,0.002006,0.8883,"FAM20A"
1.196,1.348,2.765,0.00709,0.0355,-2.811,"AKR1B10"
